SITE	LATITUDE	LONGITUDE	DATE	HEURE	COEF_MAREE	MAREE	PROF_TEXT	T (Température)	qT	S (Salinité)	qS	O (Oxygène)	qO	PH (pH)	qPH	NH4 (Ammonium)	qNH4	NO3 (Nitrates)	qNO3	NO2 (Nitrites)	qNO2	PO4 (Phosphates)	qPO4	SIOH4 (Sillicates)	qSIOH4	COP (Carbone Organique Particulaire)	qCOP	NOP (Azote Organique Particulaire)	qNOP	MES (Matière En Suspension)	qMES	CHLA (Chlorophylle-a)	qCHLA	DN15 (Delta N15)	qDN15	DC13 (Delta C13)	qDC13	TBACC (TotBac cells/mL)	qTBACC	TBACSSC (TotBac FL verte/1µm)	qTBACSSC	TBACFLV (TotBac FL verte/1µm)	qTBACFLV	HNABACC (HNABac cells/mL)	qHNABACC	HNABACSSC (HNABac SSC/1µm)	qHNABACSSC	HNABACFLV (HNABac FL verte /1µm)	qHNABACFLV	LNABACC (LNABac cells/mL)	qLNABACC	LNABACSSC (LNABac SSC/1µm)	qLNABACSSC	LNABACFLV (LNABac FL verte/1µm)	qLNABACFLV	CRYC (Cry cell/mL)	qCRYC	CRYSSC (Cry SSC/1µm)	qCRYSSC	CRYFLR (Cry FL rouge/1µm)	qCRYFLR	CRYFLO (Cry FL orange/1µm)	qCRYFLO	SYNC (Syn cell/mL)	qSYNC	SYNSSC (Syn SSC/1µm)	qSYNSSC	SYNFLR (Syn FL rouge/1µm)	qSYNFLR	SYNFLO (Syn FL orange/1µm)	qSYNFLO	PROC (Pro cell/mL)	qPROC	PROSSC (Pro SSC/1µm)	qPROSSC	PROFLR (Pro FL rouge/1µm)	qPROFLR	PICOEC (PicoE cell/mL)	qPICOEC	PICOESSC (PicoE SSC/1µm)	qPICOESSC	PICOEFLR (PicoE FL rouge/1µm)	qPICOEFLR	NANOEC (NanoE cell/mL)	qNANOEC	NANOESSC (NanoE SSC/1µm)	qNANOESSC	NANOEFLR (NanoE FL rouge/1µm)	qNANOEFLR
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2015-11-17	08:25:06	0	inc	S	18.490	2	38.261	2	5.34	6	999999.00	5	0.015	6	0.42	2	0.06	2	0.09	2	1.00	5	77.590	2	12.510	2	9.040	2	0.18	2	1.320	2	-24.310	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2015-11-24	08:10:55	0	inc	S	18.054	2	38.258	2	5.24	6	999999.00	5	0.047	6	0.70	2	0.04	2	0.06	2	0.76	5	70.150	2	8.760	2	7.840	2	0.15	2	2.550	2	-23.780	2	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2015-12-01	08:16:57	0	inc	S	16.890	2	38.225	2	5.33	6	999999.00	5	0.229	6	0.37	2	0.06	2	0.06	2	0.91	5	52.410	2	6.080	2	5.840	2	0.24	2	1.100	2	-24.560	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2015-12-08	08:37:53	0	inc	S	17.015	2	38.244	2	5.38	6	999999.00	5	0.062	6	0.28	2	0.08	2	0.04	2	0.97	5	41.533	2	4.600	2	0.200	2	0.23	2	1.240	2	-23.940	2	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2015-12-15	08:07:42	0	inc	S	16.458	2	38.229	2	5.44	6	999999.00	5	0.098	6	0.48	2	0.10	2	0.04	2	0.80	5	48.807	2	6.180	2	2.500	2	0.03	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2015-12-22	08:17:35	0	inc	S	16.368	2	38.219	2	5.44	6	999999.00	5	0.182	6	0.46	2	0.07	2	0.02	2	0.74	5	49.827	2	7.230	2	3.710	2	0.28	2	999999.000	5	999999.000	5	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9	999999.00	9
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-01-05	08:15:38	0	inc	S	15.623	2	38.209	2	5.46	6	8.13	7	0.136	6	0.54	2	0.11	2	0.06	2	0.80	2	43.317	2	6.880	2	7.310	2	0.30	2	3.670	2	-23.250	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-01-13	08:26:14	0	inc	S	14.756	2	38.212	2	5.46	6	8.11	7	0.025	6	1.00	2	0.10	2	0.14	2	1.51	2	141.247	2	11.290	2	9.280	2	0.31	2	1.160	2	-23.210	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-01-19	07:58:25	0	inc	S	14.420	2	38.221	2	5.52	6	8.13	7	0.047	6	0.88	2	0.13	2	0.09	2	1.19	2	53.597	2	6.880	2	2.530	2	0.24	2	1.240	2	-24.490	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-01-26	08:02:09	0	inc	S	14.276	2	38.207	2	5.52	6	8.13	7	0.073	6	0.97	2	0.18	2	0.05	2	1.18	2	62.797	2	9.350	2	9.200	2	0.17	2	2.140	2	-24.150	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-02-02	12:54:12	0	inc	S	14.187	2	38.146	2	5.70	3	8.10	7	0.037	6	1.50	2	0.19	2	0.07	2	1.45	2	80.297	2	11.470	2	2.150	2	0.34	7	3.130	2	-24.460	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-02-09	08:32:18	0	inc	S	14.012	2	38.162	2	5.77	6	8.11	7	0.050	6	0.92	2	0.25	2	0.06	2	1.14	2	63.437	2	10.060	2	10.650	2	0.46	7	1.140	2	-24.420	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-02-16	08:40:34	0	inc	S	13.893	2	38.198	2	5.68	6	8.11	7	0.021	6	1.24	2	0.26	2	0.09	2	1.22	2	52.197	2	7.060	2	2.580	2	0.45	7	1.180	2	-24.260	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-02-23	08:18:10	0	inc	S	13.827	2	38.167	2	5.74	6	8.11	7	0.292	6	1.42	2	0.34	2	0.07	2	1.34	2	140.737	2	19.930	2	1.550	2	0.35	7	4.420	2	-24.770	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-03-01	07:59:24	0	inc	S	13.488	2	37.851	2	5.94	6	8.14	7	0.120	6	0.54	2	0.21	2	0.08	2	0.84	2	94.677	2	152.910	4	8.650	2	0.69	7	1.990	2	-23.460	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-03-09	08:19:36	0	inc	S	13.443	2	37.955	2	5.91	6	8.12	7	0.028	3	0.72	2	0.33	2	0.10	2	0.72	2	102.033	2	15.840	2	2.850	2	0.67	7	2.600	2	-24.430	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-03-15	08:36:53	0	inc	S	13.568	2	37.917	2	5.91	6	8.12	7	0.068	6	0.68	2	0.39	2	0.07	2	1.05	2	80.913	2	13.020	2	3.110	2	0.79	7	2.140	2	-25.660	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-03-22	07:50:33	0	inc	S	13.778	2	37.816	2	6.00	6	8.10	7	0.073	6	999999.00	4	8.86	4	0.00	4	0.13	4	99.433	2	17.420	2	8.800	2	0.69	7	1.910	2	-25.840	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-03-29	06:48:42	0	inc	S	14.102	2	37.860	2	6.19	6	8.13	7	0.022	6	0.64	2	0.20	2	0.16	3	1.37	2	103.933	2	18.300	2	7.600	2	1.24	3	4.010	2	-24.980	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-04-05	07:17:31	0	inc	S	14.513	2	38.008	2	6.22	7	8.11	7	0.053	6	0.66	2	0.25	2	0.00	0	1.50	2	89.793	2	16.720	2	7.830	2	0.29	2	1.440	2	-26.340	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-04-12	06:54:25	0	inc	S	15.308	2	37.954	2	5.97	6	8.11	7	0.194	6	0.73	2	0.09	2	0.10	2	2.01	2	92.453	2	17.600	2	8.940	2	0.19	2	2.520	2	-25.380	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
