#Date de creation : 201711071221;;;;;;;;;;;;;
#Debut de periode : 201711061221;;;;;;;;;;;;;
#Fin de periode : 201711071221;;;;;;;;;;;;;
#Sites attendus : S0000005;Y6434010;Y6442010;Y6234020;Y6125012;Y6035610;Y6442022;Y6042010;Y6122010;Y6002030;Y6224010;Y6424010;Y6334040;Y6442020
#Entite; Parametre (H ou Q); Reseau (AAAAMMDDHHmm); Valeur (H en m, Q en m3/s);;;;;;;;;;
Y6042010;Q;2,02E+11;7.700;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.700;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.700;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.700;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.700;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.700;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.700;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.700;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.700;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.700;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.500;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
Y6042010;Q;2,02E+11;7.400;;;;;;;;;;
