Date_Exploitation,VT,Heure_Deb_Course_Theo,Sens,Rame,SV,Rang_Course,Num_Arret,Nom_Arret,Heure_Arret_Theo,Montées,Descentes
2017/07/08,VT103,06:30:00  ,A,1015,3,1,5011,HENRI SAPPIA,06:37:00  ,0,0
2017/07/08,VT103,06:37:01  ,A,1015,3,2,5011,HENRI SAPPIA,06:37:00  ,0,0
2017/07/08,VT103,06:37:01  ,A,1015,3,2,5012,COMTE DE FALICON,06:38:34  ,0,0
2017/07/08,VT103,06:37:01  ,A,1015,3,2,5013,LE RAY,06:39:59  ,0,0
2017/07/08,VT103,06:37:01  ,A,1015,3,2,5014,GORBELLA,06:41:59  ,0,0
2017/07/08,VT103,06:37:01  ,A,1015,3,2,5015,VALROSE UNIV.,06:44:10  ,0,0
2017/07/08,VT103,06:37:01  ,A,1015,3,2,5016,BORRIGLIONE,06:45:44  ,0,0
2017/07/08,VT103,06:37:01  ,A,1015,3,2,5017,LIBERATION,06:46:59  ,0,0
2017/07/08,VT103,06:37:01  ,A,1015,3,2,5018,GARE THIERS,06:49:59  ,0,0
2017/07/08,VT103,06:37:01  ,A,1015,3,2,5019,JEAN MEDECIN,06:51:59  ,0,0
2017/07/08,VT103,06:37:01  ,A,1015,3,2,5020,MASSENA,06:53:59  ,0,0
2017/07/08,VT103,06:58:00  ,R,1015,3,3,5043,JEAN MEDECIN,06:59:00  ,0,0
2017/07/08,VT103,06:58:00  ,R,1015,3,3,5044,GARE THIERS,07:01:00  ,0,0
2017/07/08,VT103,06:58:00  ,R,1015,3,3,5045,LIBERATION,07:03:00  ,0,0
2017/07/08,VT103,06:58:00  ,R,1015,3,3,5046,BORRIGLIONE,07:04:11  ,0,0
2017/07/08,VT103,06:58:00  ,R,1015,3,3,5047,VALROSE UNIV.,07:05:42  ,0,0
2017/07/08,VT103,06:58:00  ,R,1015,3,3,5048,GORBELLA,07:08:00  ,0,0
2017/07/08,VT103,06:58:00  ,R,1015,3,3,5049,LE RAY,07:10:00  ,0,0
2017/07/08,VT103,06:58:00  ,R,1015,3,3,5050,COMTE DE FALICON,07:11:23  ,0,0
2017/07/08,VT103,06:58:00  ,R,1015,3,3,5051,HENRI SAPPIA,07:13:00  ,0,0
2017/07/08,VT103,07:23:00  ,A,1015,3,4,5011,HENRI SAPPIA,07:23:00  ,0,0
2017/07/08,VT103,07:23:00  ,A,1015,3,4,5012,COMTE DE FALICON,07:24:35  ,0,0
2017/07/08,VT103,07:23:00  ,A,1015,3,4,5013,LE RAY,07:26:00  ,0,0
2017/07/08,VT103,07:23:00  ,A,1015,3,4,5014,GORBELLA,07:29:00  ,0,0
2017/07/08,VT103,07:23:00  ,A,1015,3,4,5015,VALROSE UNIV.,07:31:11  ,0,0
2017/07/08,VT103,07:23:00  ,A,1015,3,4,5016,BORRIGLIONE,07:32:45  ,0,0
2017/07/08,VT103,07:23:00  ,A,1015,3,4,5017,LIBERATION,07:34:00  ,0,0
2017/07/08,VT103,07:23:00  ,A,1015,3,4,5018,GARE THIERS,07:37:00  ,0,0
2017/07/08,VT103,07:23:00  ,A,1015,3,4,5019,JEAN MEDECIN,07:39:00  ,0,0
2017/07/08,VT103,07:23:00  ,A,1015,3,4,5020,MASSENA,07:41:00  ,0,0
2017/07/08,VT103,07:45:00  ,R,1015,3,5,5020,MASSENA,07:45:00  ,0,0
2017/07/08,VT103,07:45:00  ,R,1015,3,5,5043,JEAN MEDECIN,07:46:00  ,0,0
2017/07/08,VT103,07:45:00  ,R,1015,3,5,5044,GARE THIERS,07:48:00  ,0,0
2017/07/08,VT103,07:45:00  ,R,1015,3,5,5045,LIBERATION,07:50:00  ,0,0
2017/07/08,VT103,07:45:00  ,R,1015,3,5,5046,BORRIGLIONE,07:51:11  ,0,0
2017/07/08,VT103,07:45:00  ,R,1015,3,5,5047,VALROSE UNIV.,07:52:42  ,0,0
2017/07/08,VT103,07:45:00  ,R,1015,3,5,5048,GORBELLA,07:55:00  ,0,0
2017/07/08,VT103,07:45:00  ,R,1015,3,5,5049,LE RAY,07:57:00  ,0,0
2017/07/08,VT103,07:45:00  ,R,1015,3,5,5050,COMTE DE FALICON,07:58:23  ,0,0
2017/07/08,VT103,07:45:00  ,R,1015,3,5,5051,HENRI SAPPIA,08:00:00  ,0,0
2017/07/08,VT103,08:07:00  ,A,1015,3,6,5011,HENRI SAPPIA,08:07:00  ,0,0
2017/07/08,VT103,08:07:00  ,A,1015,3,6,5012,COMTE DE FALICON,08:08:35  ,0,0
2017/07/08,VT103,08:07:00  ,A,1015,3,6,5013,LE RAY,08:10:00  ,0,0
2017/07/08,VT103,08:07:00  ,A,1015,3,6,5014,GORBELLA,08:13:00  ,0,0
2017/07/08,VT103,08:07:00  ,A,1015,3,6,5015,VALROSE UNIV.,08:15:37  ,0,0
2017/07/08,VT103,08:07:00  ,A,1015,3,6,5016,BORRIGLIONE,08:17:30  ,0,0
2017/07/08,VT103,08:07:00  ,A,1015,3,6,5017,LIBERATION,08:19:00  ,0,0
2017/07/08,VT103,08:07:00  ,A,1015,3,6,5018,GARE THIERS,08:22:00  ,0,0
2017/07/08,VT103,08:07:00  ,A,1015,3,6,5019,JEAN MEDECIN,08:24:00  ,0,0
2017/07/08,VT103,08:07:00  ,A,1015,3,6,5020,MASSENA,08:26:00  ,0,0
2017/07/08,VT103,08:30:00  ,R,1015,3,7,5020,MASSENA,08:30:00  ,0,0
2017/07/08,VT103,08:30:00  ,R,1015,3,7,5043,JEAN MEDECIN,08:31:00  ,0,0
2017/07/08,VT103,08:30:00  ,R,1015,3,7,5044,GARE THIERS,08:33:00  ,0,0
2017/07/08,VT103,08:30:00  ,R,1015,3,7,5045,LIBERATION,08:35:00  ,0,0
2017/07/08,VT103,08:30:00  ,R,1015,3,7,5046,BORRIGLIONE,08:36:11  ,0,0
2017/07/08,VT103,08:30:00  ,R,1015,3,7,5047,VALROSE UNIV.,08:37:42  ,0,0
2017/07/08,VT103,08:30:00  ,R,1015,3,7,5048,GORBELLA,08:40:00  ,0,0
2017/07/08,VT103,08:30:00  ,R,1015,3,7,5049,LE RAY,08:42:00  ,0,0
2017/07/08,VT103,08:30:00  ,R,1015,3,7,5050,COMTE DE FALICON,08:43:23  ,0,0
2017/07/08,VT103,08:30:00  ,R,1015,3,7,5051,HENRI SAPPIA,08:45:00  ,0,0
2017/07/08,VT103,08:52:00  ,A,1015,3,8,5011,HENRI SAPPIA,08:52:00  ,0,0
2017/07/08,VT103,08:52:00  ,A,1015,3,8,5012,COMTE DE FALICON,08:53:35  ,0,0
2017/07/08,VT103,08:52:00  ,A,1015,3,8,5013,LE RAY,08:55:00  ,0,0
2017/07/08,VT103,08:52:00  ,A,1015,3,8,5014,GORBELLA,08:58:00  ,0,0
2017/07/08,VT103,08:52:00  ,A,1015,3,8,5015,VALROSE UNIV.,09:00:37  ,0,0
2017/07/08,VT103,08:52:00  ,A,1015,3,8,5016,BORRIGLIONE,09:02:30  ,0,0
2017/07/08,VT103,08:52:00  ,A,1015,3,8,5017,LIBERATION,09:04:00  ,0,0
2017/07/08,VT103,08:52:00  ,A,1015,3,8,5018,GARE THIERS,09:07:00  ,0,0
2017/07/08,VT103,08:52:00  ,A,1015,3,8,5019,JEAN MEDECIN,09:09:00  ,0,0
2017/07/08,VT103,08:52:00  ,A,1015,3,8,5020,MASSENA,09:11:00  ,0,0
2017/07/08,VT103,09:15:00  ,R,1015,3,9,5020,MASSENA,09:15:00  ,0,0
2017/07/08,VT103,09:15:00  ,R,1015,3,9,5043,JEAN MEDECIN,09:16:00  ,0,0
2017/07/08,VT103,09:15:00  ,R,1015,3,9,5044,GARE THIERS,09:18:00  ,0,0
2017/07/08,VT103,09:15:00  ,R,1015,3,9,5045,LIBERATION,09:20:00  ,0,0
2017/07/08,VT103,09:15:00  ,R,1015,3,9,5046,BORRIGLIONE,09:21:26  ,0,0
2017/07/08,VT103,09:15:00  ,R,1015,3,9,5047,VALROSE UNIV.,09:23:15  ,0,0
2017/07/08,VT103,09:15:00  ,R,1015,3,9,5048,GORBELLA,09:26:00  ,0,0
2017/07/08,VT103,09:15:00  ,R,1015,3,9,5049,LE RAY,09:28:00  ,0,0
2017/07/08,VT103,09:15:00  ,R,1015,3,9,5050,COMTE DE FALICON,09:29:23  ,0,0
2017/07/08,VT103,09:15:00  ,R,1015,3,9,5051,HENRI SAPPIA,09:31:00  ,0,0
2017/07/08,VT103,09:38:00  ,A,1015,3,10,5011,HENRI SAPPIA,09:38:00  ,0,0
2017/07/08,VT103,09:38:00  ,A,1015,3,10,5012,COMTE DE FALICON,09:39:35  ,0,0
2017/07/08,VT103,09:38:00  ,A,1015,3,10,5013,LE RAY,09:41:00  ,0,0
2017/07/08,VT103,09:38:00  ,A,1015,3,10,5014,GORBELLA,09:44:00  ,0,0
2017/07/08,VT103,09:38:00  ,A,1015,3,10,5015,VALROSE UNIV.,09:46:37  ,0,0
2017/07/08,VT103,09:38:00  ,A,1015,3,10,5016,BORRIGLIONE,09:48:30  ,0,0
2017/07/08,VT103,09:38:00  ,A,1015,3,10,5017,LIBERATION,09:50:00  ,0,0
2017/07/08,VT103,09:38:00  ,A,1015,3,10,5018,GARE THIERS,09:53:00  ,0,0
2017/07/08,VT103,09:38:00  ,A,1015,3,10,5019,JEAN MEDECIN,09:55:00  ,0,0
2017/07/08,VT103,09:38:00  ,A,1015,3,10,5020,MASSENA,09:57:00  ,0,0
2017/07/08,VT103,10:01:00  ,R,1015,3,11,5020,MASSENA,10:01:00  ,0,0
2017/07/08,VT103,10:01:00  ,R,1015,3,11,5043,JEAN MEDECIN,10:02:00  ,0,0
2017/07/08,VT103,10:01:00  ,R,1015,3,11,5044,GARE THIERS,10:04:00  ,0,0
2017/07/08,VT103,10:01:00  ,R,1015,3,11,5045,LIBERATION,10:06:00  ,0,0
2017/07/08,VT103,10:01:00  ,R,1015,3,11,5046,BORRIGLIONE,10:07:26  ,0,0
2017/07/08,VT103,10:01:00  ,R,1015,3,11,5047,VALROSE UNIV.,10:09:15  ,0,0
2017/07/08,VT103,10:01:00  ,R,1015,3,11,5048,GORBELLA,10:12:00  ,0,0
2017/07/08,VT103,10:01:00  ,R,1015,3,11,5049,LE RAY,10:14:00  ,0,0
2017/07/08,VT103,10:01:00  ,R,1015,3,11,5050,COMTE DE FALICON,10:15:23  ,0,0
2017/07/08,VT103,10:01:00  ,R,1015,3,11,5051,HENRI SAPPIA,10:17:00  ,0,0
2017/07/08,VT103,10:26:00  ,A,1015,3,12,5011,HENRI SAPPIA,10:26:00  ,0,0
2017/07/08,VT103,10:26:00  ,A,1015,3,12,5012,COMTE DE FALICON,10:27:35  ,0,0
2017/07/08,VT103,10:26:00  ,A,1015,3,12,5013,LE RAY,10:29:00  ,0,0
2017/07/08,VT103,10:26:00  ,A,1015,3,12,5014,GORBELLA,10:32:00  ,0,0
2017/07/08,VT103,10:26:00  ,A,1015,3,12,5015,VALROSE UNIV.,10:34:37  ,0,0
2017/07/08,VT103,10:26:00  ,A,1015,3,12,5016,BORRIGLIONE,10:36:30  ,0,0
2017/07/08,VT103,10:26:00  ,A,1015,3,12,5017,LIBERATION,10:38:00  ,0,0
2017/07/08,VT103,10:26:00  ,A,1015,3,12,5018,GARE THIERS,10:41:00  ,0,0
2017/07/08,VT103,10:26:00  ,A,1015,3,12,5019,JEAN MEDECIN,10:43:00  ,0,0
2017/07/08,VT103,10:26:00  ,A,1015,3,12,5020,MASSENA,10:45:00  ,0,0
2017/07/08,VT103,10:49:00  ,R,1015,3,13,5020,MASSENA,10:49:00  ,0,0
2017/07/08,VT103,10:49:00  ,R,1015,3,13,5043,JEAN MEDECIN,10:50:00  ,0,0
2017/07/08,VT103,10:49:00  ,R,1015,3,13,5044,GARE THIERS,10:52:00  ,0,0
2017/07/08,VT103,10:49:00  ,R,1015,3,13,5045,LIBERATION,10:54:00  ,0,0
2017/07/08,VT103,10:49:00  ,R,1015,3,13,5046,BORRIGLIONE,10:55:26  ,0,0
2017/07/08,VT103,10:49:00  ,R,1015,3,13,5047,VALROSE UNIV.,10:57:15  ,0,0
2017/07/08,VT103,10:49:00  ,R,1015,3,13,5048,GORBELLA,11:00:00  ,0,0
2017/07/08,VT103,10:49:00  ,R,1015,3,13,5049,LE RAY,11:02:00  ,0,0
2017/07/08,VT103,10:49:00  ,R,1015,3,13,5050,COMTE DE FALICON,11:03:23  ,0,0
2017/07/08,VT103,10:49:00  ,R,1015,3,13,5051,HENRI SAPPIA,11:05:00  ,0,0
2017/07/08,VT103,11:13:00  ,A,1015,3,14,5011,HENRI SAPPIA,11:13:00  ,0,0
2017/07/08,VT103,11:13:00  ,A,1015,3,14,5012,COMTE DE FALICON,11:14:35  ,0,0
2017/07/08,VT103,11:13:00  ,A,1015,3,14,5013,LE RAY,11:16:00  ,0,0
2017/07/08,VT103,11:13:00  ,A,1015,3,14,5014,GORBELLA,11:19:00  ,0,0
2017/07/08,VT103,11:13:00  ,A,1015,3,14,5015,VALROSE UNIV.,11:21:37  ,0,0
2017/07/08,VT103,11:13:00  ,A,1015,3,14,5016,BORRIGLIONE,11:23:30  ,0,0
2017/07/08,VT103,11:13:00  ,A,1015,3,14,5017,LIBERATION,11:25:00  ,0,0
2017/07/08,VT103,11:13:00  ,A,1015,3,14,5018,GARE THIERS,11:28:00  ,0,0
2017/07/08,VT103,11:13:00  ,A,1015,3,14,5019,JEAN MEDECIN,11:30:00  ,0,0
2017/07/08,VT103,11:13:00  ,A,1015,3,14,5020,MASSENA,11:32:00  ,0,0
2017/07/08,VT103,11:36:00  ,R,1015,3,15,5020,MASSENA,11:36:00  ,0,0
2017/07/08,VT103,11:36:00  ,R,1015,3,15,5043,JEAN MEDECIN,11:37:00  ,0,0
2017/07/08,VT103,11:36:00  ,R,1015,3,15,5044,GARE THIERS,11:40:00  ,0,0
2017/07/08,VT103,11:36:00  ,R,1015,3,15,5045,LIBERATION,11:42:00  ,0,0
2017/07/08,VT103,11:36:00  ,R,1015,3,15,5046,BORRIGLIONE,11:43:26  ,0,0
2017/07/08,VT103,11:36:00  ,R,1015,3,15,5047,VALROSE UNIV.,11:45:15  ,0,0
2017/07/08,VT103,11:36:00  ,R,1015,3,15,5048,GORBELLA,11:48:00  ,0,0
2017/07/08,VT103,11:36:00  ,R,1015,3,15,5049,LE RAY,11:50:00  ,0,0
2017/07/08,VT103,11:36:00  ,R,1015,3,15,5050,COMTE DE FALICON,11:51:23  ,0,0
2017/07/08,VT103,11:36:00  ,R,1015,3,15,5051,HENRI SAPPIA,11:53:00  ,0,0
2017/07/08,VT103,12:01:00  ,A,1015,3,16,5011,HENRI SAPPIA,12:01:00  ,0,0
2017/07/08,VT103,12:01:00  ,A,1015,3,16,5012,COMTE DE FALICON,12:02:35  ,0,0
2017/07/08,VT103,12:01:00  ,A,1015,3,16,5013,LE RAY,12:04:00  ,0,0
2017/07/08,VT103,12:01:00  ,A,1015,3,16,5014,GORBELLA,12:07:00  ,0,0
2017/07/08,VT103,12:01:00  ,A,1015,3,16,5015,VALROSE UNIV.,12:09:37  ,0,0
2017/07/08,VT103,12:01:00  ,A,1015,3,16,5016,BORRIGLIONE,12:11:30  ,0,0
2017/07/08,VT103,12:01:00  ,A,1015,3,16,5017,LIBERATION,12:13:00  ,0,0
2017/07/08,VT103,12:01:00  ,A,1015,3,16,5018,GARE THIERS,12:16:00  ,0,0
2017/07/08,VT103,12:01:00  ,A,1015,3,16,5019,JEAN MEDECIN,12:18:00  ,0,0
2017/07/08,VT103,12:01:00  ,A,1015,3,16,5020,MASSENA,12:20:00  ,0,0
2017/07/08,VT103,12:24:00  ,R,1015,3,17,5020,MASSENA,12:24:00  ,0,0
2017/07/08,VT103,12:24:00  ,R,1015,3,17,5043,JEAN MEDECIN,12:25:00  ,0,0
2017/07/08,VT103,12:24:00  ,R,1015,3,17,5044,GARE THIERS,12:28:00  ,0,0
2017/07/08,VT103,12:24:00  ,R,1015,3,17,5045,LIBERATION,12:30:00  ,0,0
2017/07/08,VT103,12:24:00  ,R,1015,3,17,5046,BORRIGLIONE,12:31:11  ,0,0
2017/07/08,VT103,12:24:00  ,R,1015,3,17,5047,VALROSE UNIV.,12:32:42  ,0,0
2017/07/08,VT103,12:24:00  ,R,1015,3,17,5048,GORBELLA,12:35:00  ,0,0
2017/07/08,VT103,12:24:00  ,R,1015,3,17,5049,LE RAY,12:37:00  ,0,0
