Identificateur de la P.A;Identificateur du type de jour;Voyage;Ligne;Direction;Voiture;Rang;Identificateur de l'arret;Description de l'arret;Heure planifiée;Date mesurée;Heure mesurée
18;1;VT104064800;T1;Aller;1015;1;DEPCOT;DEPOT TRAM;064800;28/08/2017;064953
18;1;VT104064800;T1;Aller;1015;2;LASPL1;HENRI SAPPIA;065500;28/08/2017;065238
18;1;VT104065501;T1;Aller;1015;3;LASPL1;HENRI SAPPIA;065501;28/08/2017;065308
18;1;VT104065501;T1;Aller;1015;4;COMTE2;COMTE DE FALICON;065635;28/08/2017;065516
18;1;VT104065501;T1;Aller;1015;5;LRAY13;LE RAY;065800;28/08/2017;065638
18;1;VT104065501;T1;Aller;1015;6;GORB14;GORBELLA;070000;28/08/2017;065754
18;1;VT104065501;T1;Aller;1015;7;VALRO5;VALROSE UNIV.;070211;28/08/2017;070032
18;1;VT104065501;T1;Aller;1015;8;BORRI6;BORRIGLIONE;070345;28/08/2017;070209
18;1;VT104065501;T1;Aller;1015;9;LIBER7;LIBERATION;070500;28/08/2017;070328
18;1;VT104065501;T1;Aller;1015;10;GARE18;GARE THIERS;070800;28/08/2017;070521
18;1;VT104065501;T1;Aller;1015;11;JMEDE9;JEAN MEDECIN;071000;28/08/2017;070703
18;1;VT104065501;T1;Aller;1015;12;MASSE0;MASSENA;071200;28/08/2017;070843
18;1;VT104065501;T1;Aller;1015;13;OPERA1;OPERA - V.VILLE;071300;28/08/2017;071027
18;1;VT104065501;T1;Aller;1015;14;CATHE2;CATHEDRALE-V.V.;071500;28/08/2017;071156
18;1;VT104065501;T1;Aller;1015;15;GARIB3;GARIBALDI;071600;28/08/2017;071333
18;1;VT104065501;T1;Aller;1015;16;ACROP4;ACROPOLIS;071800;28/08/2017;071444
18;1;VT104065501;T1;Aller;1015;17;PALAI5;PALAIS DES EXPO.;071913;28/08/2017;071606
18;1;VT104065501;T1;Aller;1015;18;VAUBA6;VAUBAN;072100;28/08/2017;071751
18;1;VT104065501;T1;Aller;1015;19;ANGEL7;ST-JEAN D'ANGELY;072300;28/08/2017;071904
18;1;VT104065501;T1;Aller;1015;20;ROCH28;SAINT ROCH;072448;28/08/2017;072045
18;1;VT104065501;T1;Aller;1015;21;VIRGI9;VIRGILE BAREL;072613;28/08/2017;072157
18;1;VT104065501;T1;Aller;1015;22;CHARL0;SAINT-CHARLES;072749;28/08/2017;072328
18;1;VT104065501;T1;Aller;1015;23;MICHE1;PONT MICHEL;073000;28/08/2017;072530
18;1;VT104065501;T1;Aller;1015;24;WPAST0;HOPITAL PASTEUR;073200;28/08/2017;072932
18;1;VT104073600;T1;Retour;1015;25;WPAST0;HOPITAL PASTEUR;073600;28/08/2017;073255
18;1;VT104073600;T1;Retour;1015;26;MICHE2;PONT MICHEL;073800;28/08/2017;073510
18;1;VT104073600;T1;Retour;1015;27;CHARL2;SAINT-CHARLES;074012;28/08/2017;073728
18;1;VT104073600;T1;Retour;1015;28;VIRGI3;VIRGILE BAREL;074151;28/08/2017;073842
18;1;VT104073600;T1;Retour;1015;29;ROCH34;SAINT ROCH;074319;28/08/2017;073958
18;1;VT104073600;T1;Retour;1015;30;ANGEL5;ST-JEAN D'ANGELY;074500;28/08/2017;074142
18;1;VT104073600;T1;Retour;1015;31;VAUB36;VAUBAN;074600;28/08/2017;074305
18;1;VT104073600;T1;Retour;1015;32;PALAI7;PALAIS DES EXPO.;074747;28/08/2017;074524
18;1;VT104073600;T1;Retour;1015;33;ACROP8;ACROPOLIS;074900;28/08/2017;074649
18;1;VT104073600;T1;Retour;1015;34;GARB39;GARIBALDI;075100;28/08/2017;074826
18;1;VT104073600;T1;Retour;1015;35;CATHE0;CATHEDRALE-V.V.;075300;28/08/2017;075003
18;1;VT104073600;T1;Retour;1015;36;OPER41;OPERA - V.VILLE;075500;28/08/2017;075115
18;1;VT104073600;T1;Retour;1015;37;MASSE2;MASSENA;075800;28/08/2017;075327
18;1;VT104073600;T1;Retour;1015;38;JMECE3;JEAN MEDECIN;075900;28/08/2017;075503
18;1;VT104073600;T1;Retour;1015;39;GARET4;GARE THIERS;080100;28/08/2017;075647
18;1;VT104073600;T1;Retour;1015;40;LIBER5;LIBERATION;080300;28/08/2017;075830
18;1;VT104073600;T1;Retour;1015;41;BORR46;BORRIGLIONE;080411;28/08/2017;080000
18;1;VT104073600;T1;Retour;1015;42;VALRO7;VALROSE UNIV.;080542;28/08/2017;080138
18;1;VT104073600;T1;Retour;1015;43;GORB48;GORBELLA;080800;28/08/2017;080402
18;1;VT104073600;T1;Retour;1015;44;LERAY9;LE RAY;081000;28/08/2017;080522
18;1;VT104073600;T1;Retour;1015;45;COMT50;COMTE DE FALICON;081123;28/08/2017;080640
18;1;VT104073600;T1;Retour;1015;46;LASP51;HENRI SAPPIA;081300;28/08/2017;080757
18;1;VT104082200;T1;Aller;1015;47;LASPL1;HENRI SAPPIA;082200;28/08/2017;081600
18;1;VT104082200;T1;Aller;1015;48;COMTE2;COMTE DE FALICON;082335;28/08/2017;081814
